time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-09-17T14:28:05.887Z,37.6376,71.6502,46.197,4.7,mb,196,41,1.841,0.72,us,us7000neha,2024-09-17T16:00:36.040Z,"18 km NNE of Khorugh, Tajikistan",earthquake,5.59,5.216,0.042,174,reviewed,us,us
2024-09-17T13:03:33.030Z,19.3821659088135,-155.167007446289,2.30999994277954,2.45,ml,50,73,0.003462,0.389999986,hv,hv74467617,2024-09-17T13:06:27.630Z,"9 km SE of Volcano, Hawaii",earthquake,0.53,0.800000012,0.42,26,automatic,hv,hv
2024-09-17T11:56:27.300Z,55.7366,161.3732,105.305,4.8,mb,134,93,3.151,0.87,us,us7000negt,2024-09-17T12:32:12.040Z,"72 km SSE of Klyuchi, Russia",earthquake,9.16,6.903,0.025,484,reviewed,us,us
2024-09-17T11:41:09.100Z,17.9616666666667,-66.7175,7.89,2.61,md,21,160,0.09127,0.23,pr,pr71460398,2024-09-17T12:11:07.430Z,"3 km S of Tallaboa, Puerto Rico",earthquake,0.56,0.45,0.0670720716824778,5,reviewed,pr,pr
2024-09-17T09:00:39.071Z,-30.7782,-178.5325,112.256,5,mb,30,127,1.602,1.39,us,us7000neg5,2024-09-17T09:19:46.040Z,"Kermadec Islands, New Zealand",earthquake,14.39,9.524,0.103,30,reviewed,us,us
2024-09-17T08:35:00.374Z,-54.56,158.7145,10,4.8,mb,31,122,0.145,0.77,us,us7000neg0,2024-09-17T09:24:47.040Z,"Macquarie Island region",earthquake,10.62,1.848,0.116,23,reviewed,us,us
2024-09-17T08:33:00.573Z,43.6579,88.0798,10,4.9,mb,80,45,4.423,1.15,us,us7000nefx,2024-09-17T09:10:51.040Z,"41 km ESE of Ürümqi, China",earthquake,8.3,1.885,0.056,124,reviewed,us,us
2024-09-17T08:15:08.930Z,19.3826675415039,-155.166168212891,3.65000009536743,2.52,ml,49,74,0.004357,0.389999986,hv,hv74467087,2024-09-17T08:18:03.160Z,"9 km SSW of Fern Forest, Hawaii",earthquake,0.68,1.54999995,0.42,29,automatic,hv,hv
2024-09-17T05:46:35.528Z,32.407,-102.044,8.5205,2.9,ml,31,68,0.1,0.1,tx,tx2024shmf,2024-09-17T15:56:54.477Z,"33 km WSW of Ackerly, Texas",earthquake,0.4793406794309405,0.5158417599359663,0,7,reviewed,tx,tx
2024-09-17T05:33:08.800Z,34.0673333,-118.806,11.18,2.8,ml,111,89,0.03349,0.28,ci,ci40735711,2024-09-17T15:55:06.727Z,"7 km N of Malibu, CA",earthquake,0.21,0.3,0.166,26,automatic,ci,ci
2024-09-17T05:07:47.200Z,18.2163333333333,-67.0736666666667,24.32,3.04,md,13,91,0.042,0.09,pr,pr71460383,2024-09-17T05:28:02.410Z,"7 km ENE of Mayagüez, Puerto Rico",earthquake,0.37,0.59,0.050224848487384,6,reviewed,pr,pr
2024-09-17T04:14:56.320Z,19.2828,-67.4266,26,3.52,md,11,320,0.8742,0.48,pr,pr2024261001,2024-09-17T04:42:17.249Z,"94 km NNW of San Antonio, Puerto Rico",earthquake,2.51,30.55,0.08,9,reviewed,pr,pr
2024-09-17T04:13:32.472Z,9.6286,126.5487,35,4.9,mb,49,114,2.717,0.54,us,us7000neel,2024-09-17T04:30:52.040Z,"50 km ESE of Union, Philippines",earthquake,10.22,1.902,0.07,64,reviewed,us,us
2024-09-17T03:26:40.930Z,19.2711658477783,-155.365173339844,30.5599994659424,2.54,ml,42,137,0.04532,0.180000007,hv,hv74466417,2024-09-17T03:29:47.000Z,"14 km ENE of Pāhala, Hawaii",earthquake,0.61,0.529999971,0.68,4,automatic,hv,hv
2024-09-17T03:22:16.730Z,19.1261,-67.2618,76,3.68,md,10,232,0.6756,0.46,pr,pr2024261000,2024-09-17T03:48:37.500Z,"72 km NNW of San Antonio, Puerto Rico",earthquake,4.56,8.73,0.09,8,reviewed,pr,pr
2024-09-17T02:55:14.593Z,-2.8512,141.8513,35,4.8,mb,33,97,1.195,0.76,us,us7000nee1,2024-09-17T03:15:03.040Z,"63 km WNW of Aitape, Papua New Guinea",earthquake,10.19,1.919,0.097,33,reviewed,us,us
2024-09-17T02:50:32.110Z,18.012,-66.516,41.1,3.12,md,15,89,0.07418,0.12,pr,pr71460348,2024-09-17T03:20:04.470Z,"1 km E of Capitanejo, Puerto Rico",earthquake,0.6,0.51,0.048532752592783,9,reviewed,pr,pr
2024-09-17T01:46:57.150Z,17.9731666666667,-67.115,7.32,2.62,md,11,263,0.03345,0.09,pr,pr71460338,2024-09-17T02:03:56.000Z,"7 km W of La Parguera, Puerto Rico",earthquake,0.43,0.18,0.218970451801982,6,reviewed,pr,pr
2024-09-17T01:31:17.397Z,-25.6893,-179.6707,446.984,5.1,mb,34,104,3.865,0.64,us,us7000nedh,2024-09-17T01:45:17.040Z,"south of the Fiji Islands",earthquake,13.71,8.816,0.089,41,reviewed,us,us
2024-09-17T00:49:42.181Z,32.411,-102.057,6.1279,5.1,ml,26,38,0,0.1,tx,tx2024shcj,2024-09-17T16:30:05.033Z,"34 km WSW of Ackerly, Texas",earthquake,0.42330603419664925,1.1224431448242027,0.1,29,reviewed,tx,tx
2024-09-17T00:28:05.448Z,-5.4609,152.8348,20.342,4.9,mb,51,89,6.856,0.93,us,us7000necu,2024-09-17T01:16:26.040Z,"138 km SSE of Kokopo, Papua New Guinea",earthquake,11.84,5.829,0.077,53,reviewed,us,us
2024-09-16T23:49:31.521Z,31.565,-104.107,5.8435,2.9,ml,30,63,0,0.2,tx,tx2024shal,2024-09-17T12:36:42.048Z,"40 km NW of Toyah, Texas",earthquake,0.6416510641642633,0.4498898442371181,0.1,37,reviewed,tx,tx
2024-09-16T23:41:58.093Z,-18.8622,-69.4969,111.696,4.5,mb,29,98,0.524,0.87,us,us7000necn,2024-09-16T23:56:22.040Z,"50 km N of Camiña, Chile",earthquake,5.17,6.425,0.124,19,reviewed,us,us
2024-09-16T23:02:04.820Z,35.038,-116.9833333,2.1,2.61,ml,34,53,0.163,0.15,ci,ci40735559,2024-09-16T23:45:19.449Z,"16 km NNE of Barstow, CA",earthquake,0.16,0.64,0.177,25,automatic,ci,ci
2024-09-16T22:57:11.426Z,-21.1685,-68.5342,147.921,4.3,mb,27,106,0.908,1.21,us,us7000necd,2024-09-16T23:07:32.040Z,"29 km WNW of Ollagüe, Chile",earthquake,5.99,7.86,0.147,15,reviewed,us,us
2024-09-16T21:37:05.740Z,19.3683333333333,-155.171666666667,1.7,2.62,ml,49,84,0.01128,0.18,hv,hv74465637,2024-09-16T21:54:21.040Z,"10 km SE of Volcano, Hawaii",earthquake,0.25,0.26,0.192525443556244,37,reviewed,hv,hv
2024-09-16T21:10:55.767Z,56.5008,-147.9333,10,3.1,ml,27,250,2.841,0.26,us,us7000nebs,2024-09-16T21:16:46.040Z,"291 km ESE of Chiniak, Alaska",earthquake,4.78,2.019,0.055,44,reviewed,us,us
2024-09-16T19:40:54.531Z,50.9956,-171.839,10,3.3,ml,21,230,1.903,0.67,us,us7000nebn,2024-09-16T21:12:04.040Z,"211 km SE of Atka, Alaska",earthquake,4.78,1.998,0.085,18,reviewed,us,us
2024-09-16T18:52:28.128Z,52.0699,-173.8129,79.702,3.9,mb,34,173,0.27,0.56,us,us7000nebk,2024-09-16T21:03:28.040Z,"30 km ESE of Atka, Alaska",earthquake,9,5.937,0.115,20,reviewed,us,us
2024-09-16T18:42:48.239Z,-23.492,-179.9378,527.859,4.6,mb,40,72,5.066,0.64,us,us7000neat,2024-09-16T19:10:23.858Z,"south of the Fiji Islands",earthquake,14.11,9.546,0.084,42,reviewed,us,us
2024-09-16T18:13:01.895Z,52.4623,-179.0186,251.843,4.6,mb,45,52,0.657,0.81,us,us7000neam,2024-09-16T20:52:24.508Z,"175 km WNW of Adak, Alaska",earthquake,10.81,6.42,0.049,125,reviewed,us,us
2024-09-16T18:11:59.547Z,12.9471,144.1852,10,5,mww,41,109,2.756,0.82,us,us7000nean,2024-09-17T11:49:46.131Z,"63 km SW of Merizo Village, Guam",earthquake,5.45,1.898,0.093,11,reviewed,us,us
2024-09-16T16:53:09.166Z,-2.4473,138.9875,25.841,4.9,mb,50,66,1.715,0.86,us,us7000nea5,2024-09-16T17:13:21.040Z,"183 km W of Abepura, Indonesia",earthquake,8.72,5.434,0.078,52,reviewed,us,us
